theme_code,text_repr,issue_category,iptc_id,iptc_label,iptc_definition,similarity,iptc_label_2nd,similarity_2nd,confidence,cluster_id,tsne_x,tsne_y
SANITATION,SANITATION,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.32453865,environment,0.25549415,0.0690445,0,92.005394,67.97495
SCANDAL,SCANDAL,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.18547419,"conflict, war and peace",0.1851074,0.00036679208,4,26.795021,45.934017
SCIENCE,SCIENCE - EDUCATION & SCIENCE - Scientific discoveries and research,EDUCATION & SCIENCE,13000000,science and technology,"All aspects pertaining to human understanding of and methodical study and research of natural, formal and social sciences",0.5945277,education,0.44568285,0.14884487,3,78.83001,21.36667
SECURITY,SECURITY - CONFLICT / WAR / PEACE - Security issues and defense,CONFLICT / WAR / PEACE,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.59964824,society,0.39098108,0.20866716,6,34.64006,17.299664
SEIGE,SEIGE,,6000000,environment,"The protection, damage, and condition of the ecosystem of the planet Earth and its surroundings",0.15363139,politics and government,0.14158222,0.012049168,0,66.93233,55.442715
SEIZE,SEIZE,,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.16289307,politics and government,0.1505189,0.012374178,0,40.0587,68.3378
SELF,SELF,,7000000,health,All aspects of physical and mental well-being,0.32272777,human interest,0.26722693,0.055500835,0,50.211437,69.73772
SEPARATISTS,SEPARATISTS,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.2772005,society,0.23827454,0.038925946,4,21.039436,78.55704
SHORTAGE,SHORTAGE,,9000000,labour,"Social aspects, organisations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed",0.31109458,society,0.23192823,0.07916635,1,49.260612,56.444702
SICKENED,SICKENED,,7000000,health,All aspects of physical and mental well-being,0.20038885,"disaster, accident and emergency incident",0.14479995,0.0555889,0,45.925083,67.08896
SLFID,SLFID,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.09360252,weather,0.08871407,0.0048884526,0,92.66712,73.920364
SLUMS,SLUMS,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.20014499,"conflict, war and peace",0.1925225,0.0076224953,0,92.359886,73.033775
SMUGGLING,SMUGGLING,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.27422237,"economy, business and finance",0.16209918,0.11212319,2,15.330445,50.623524
SOC,SOC - SOCIETY / SOCIAL ISSUES - Social issues and community events,SOCIETY / SOCIAL ISSUES,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.6355055,"conflict, war and peace",0.3935764,0.24192908,3,50.692074,18.539192
SOVEREIGNTY,SOVEREIGNTY,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.49119893,"conflict, war and peace",0.3490234,0.14217553,4,60.62184,41.034203
STATE,STATE,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.44374305,society,0.21331194,0.23043111,2,56.250908,48.062492
STRIKE,STRIKE,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.22920735,labour,0.20771337,0.021493986,1,40.856617,55.436108
SUICIDE,SUICIDE,,7000000,health,All aspects of physical and mental well-being,0.28934443,"disaster, accident and emergency incident",0.28609413,0.003250301,2,36.390587,60.3436
SURVEILLANCE,SURVEILLANCE,,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.28444487,"crime, law and justice",0.2823519,0.0020929575,0,16.887897,60.886463
TAKE,TAKE,,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.13579355,weather,0.12602217,0.009771377,0,43.087162,69.66588
TAX,TAX - ECONOMY / FINANCE - Taxation and fiscal policy,ECONOMY / FINANCE,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.5235216,labour,0.24787872,0.27564287,5,91.09961,41.828102
TECH,TECH,,13000000,science and technology,"All aspects pertaining to human understanding of and methodical study and research of natural, formal and social sciences",0.4397513,education,0.23093382,0.20881748,0,60.5418,69.53273
TERROR,TERROR - CONFLICT / WAR / PEACE - Terrorism and terror-related events,CONFLICT / WAR / PEACE,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.6102331,society,0.35172606,0.25850707,6,39.01856,17.721298
TORTURE,TORTURE,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.18707591,society,0.16190365,0.025172263,2,31.606272,55.582706
TOURISM,TOURISM - LIFESTYLE / ENTERTAINMENT - Tourism and travel,LIFESTYLE / ENTERTAINMENT,10000000,lifestyle and leisure,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel",0.72847223,"arts, culture, entertainment and media",0.6082659,0.120206356,3,62.34991,18.499722
TRAFFIC,TRAFFIC,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.22112846,"crime, law and justice",0.215866,0.0052624643,0,39.538757,76.11891
TRANSPARENCY,TRANSPARENCY,,5000000,education,"All aspects of furthering knowledge, formally or informally",0.18894486,human interest,0.14362088,0.045323983,0,31.785664,77.273834
TREASON,TREASON,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.25822318,"crime, law and justice",0.24070959,0.017513588,2,21.203653,42.609974
TRIAL,TRIAL,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.34339303,"disaster, accident and emergency incident",0.16629627,0.17709675,2,26.423084,52.244457
UNEMPLOYMENT,UNEMPLOYMENT,,9000000,labour,"Social aspects, organisations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed",0.46423018,lifestyle and leisure,0.23074636,0.23348382,1,42.928825,54.7303
UNGOVERNED,UNGOVERNED,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.34532893,"disaster, accident and emergency incident",0.21019071,0.13513821,4,53.320774,43.500042
UNGP,UNGP - POLITICS / GOVERNMENT - UN Guiding Principles on Business and Human Rights,POLITICS / GOVERNMENT,14000000,society,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare",0.35129538,labour,0.3337872,0.017508179,4,69.00795,35.642418
UNREST,UNREST,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.46314302,society,0.30514473,0.1579983,1,31.841166,38.608505
UNSAFE,UNSAFE,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.3248825,environment,0.26323634,0.061646163,2,19.523373,70.437325
URBAN,URBAN,,1000000,"arts, culture, entertainment and media","All forms of arts, entertainment, cultural heritage and media",0.26504776,politics and government,0.19974646,0.0653013,0,78.45358,69.986244
USPEC,USPEC - GENERAL / UNCATEGORIZED - Unspecified or unknown category,GENERAL / UNCATEGORIZED,8000000,human interest,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way",0.34681368,"disaster, accident and emergency incident",0.1911701,0.15564358,3,46.846954,8.809686
VANDALIZE,VANDALIZE,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.31809232,"disaster, accident and emergency incident",0.2606245,0.05746782,0,17.236422,64.11255
VETO,VETO,,11000000,politics and government,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states",0.20091534,"conflict, war and peace",0.16112801,0.039787322,0,14.35059,40.292828
VIOLENT,VIOLENT,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.39569432,"crime, law and justice",0.3406365,0.055057824,2,20.902851,68.66733
WATER,WATER,,7000000,health,All aspects of physical and mental well-being,0.22105512,lifestyle and leisure,0.18914962,0.031905502,0,64.57048,77.02509
WB,WB - ECONOMY / FINANCE - World Bank related news and development,ECONOMY / FINANCE,4000000,"economy, business and finance","All matters concerning the planning, production and exchange of wealth",0.5296026,labour,0.34413046,0.18547213,5,91.9454,36.138992
WHISTLEBLOWER,WHISTLEBLOWER,,2000000,"crime, law and justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",0.15782821,"disaster, accident and emergency incident",0.12460171,0.033226505,1,28.258394,62.639168
WMD,WMD,,16000000,"conflict, war and peace","Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts",0.30160552,society,0.14377102,0.1578345,2,19.881111,36.433884
WOUND,WOUND,,3000000,"disaster, accident and emergency incident",Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,0.26814672,environment,0.1770209,0.091125816,2,59.51921,61.81348
